,short_name,model_name,results,accuracy,macro,per_class_Precision_1,per_class_Precision_2,per_class_Precision_3,per_class_Precision_4,per_class_Recall_1,per_class_Recall_2,per_class_Recall_3,per_class_Recall_4,per_class_F-score_1,per_class_F-score_2,per_class_F-score_3,per_class_F-score_4,per_class_Support_1,per_class_Support_2,per_class_Support_3,per_class_Support_4
0,alpaca style,databricks/dolly-v2-3b,"{""accuracy"": 0.25925925925925924, ""macro"": [0.21792328042328044, 0.24964633068081343, 0.19759334233018444, null], ""per_class"": {""Precision"": {""1"": 0.1111111111111111, ""2"": 0.2962962962962963, ""3"": 0.25, ""4"": 0.21428571428571427}, ""Recall"": {""1"": 0.034482758620689655, ""2"": 0.6666666666666666, ""3"": 0.06666666666666667, ""4"": 0.23076923076923078}, ""F-score"": {""1"": 0.05263157894736842, ""2"": 0.41025641025641024, ""3"": 0.10526315789473685, ""4"": 0.22222222222222224}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.25925925925925924,"[0.21792328042328044, 0.24964633068081343, 0.19759334233018444, None]",0.1111111111111111,0.2962962962962963,0.25,0.21428571428571427,0.034482758620689655,0.6666666666666666,0.06666666666666667,0.23076923076923078,0.05263157894736842,0.41025641025641024,0.10526315789473685,0.22222222222222224,29,24,15,13
1,alpaca succint,databricks/dolly-v2-3b,"{""accuracy"": 0.2716049382716049, ""macro"": [0.41357630008525154, 0.23704686118479218, 0.20269399460188933, null], ""per_class"": {""Precision"": {""1"": 0.17391304347826086, ""2"": 0.3137254901960784, ""3"": 1.0, ""4"": 0.16666666666666666}, ""Recall"": {""1"": 0.13793103448275862, ""2"": 0.6666666666666666, ""3"": 0.06666666666666667, ""4"": 0.07692307692307693}, ""F-score"": {""1"": 0.15384615384615385, ""2"": 0.42666666666666664, ""3"": 0.125, ""4"": 0.10526315789473684}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.2716049382716049,"[0.41357630008525154, 0.23704686118479218, 0.20269399460188933, None]",0.17391304347826086,0.3137254901960784,1.0,0.16666666666666666,0.13793103448275862,0.6666666666666666,0.06666666666666667,0.07692307692307693,0.15384615384615385,0.42666666666666664,0.125,0.10526315789473684,29,24,15,13
2,example,databricks/dolly-v2-3b,"{""accuracy"": 0.1728395061728395, ""macro"": [0.24247737556561083, 0.2021441202475685, 0.14674428870985542, null], ""per_class"": {""Precision"": {""1"": 0.6, ""2"": 0.23529411764705882, ""3"": 0.0, ""4"": 0.1346153846153846}, ""Recall"": {""1"": 0.10344827586206896, ""2"": 0.16666666666666666, ""3"": 0.0, ""4"": 0.5384615384615384}, ""F-score"": {""1"": 0.17647058823529413, ""2"": 0.19512195121951217, ""3"": 0.0, ""4"": 0.2153846153846154}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.1728395061728395,"[0.24247737556561083, 0.2021441202475685, 0.14674428870985542, None]",0.6,0.23529411764705882,0.0,0.1346153846153846,0.10344827586206896,0.16666666666666666,0.0,0.5384615384615384,0.17647058823529413,0.19512195121951217,0.0,0.2153846153846154,29,24,15,13
3,original bmk,databricks/dolly-v2-3b,"{""accuracy"": 0.25925925925925924, ""macro"": [0.19178921568627452, 0.201486516357206, 0.16992544492544492, null], ""per_class"": {""Precision"": {""1"": 0.375, ""2"": 0.25, ""3"": 0.08333333333333333, ""4"": 0.058823529411764705}, ""Recall"": {""1"": 0.6206896551724138, ""2"": 0.041666666666666664, ""3"": 0.06666666666666667, ""4"": 0.07692307692307693}, ""F-score"": {""1"": 0.4675324675324676, ""2"": 0.07142857142857142, ""3"": 0.07407407407407407, ""4"": 0.06666666666666667}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.25925925925925924,"[0.19178921568627452, 0.201486516357206, 0.16992544492544492, None]",0.375,0.25,0.08333333333333333,0.058823529411764705,0.6206896551724138,0.041666666666666664,0.06666666666666667,0.07692307692307693,0.4675324675324676,0.07142857142857142,0.07407407407407407,0.06666666666666667,29,24,15,13
4,numeric succint,databricks/dolly-v2-3b,"{""accuracy"": 0.16049382716049382, ""macro"": [0.040123456790123455, 0.25, 0.06914893617021275, null], ""per_class"": {""Precision"": {""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.16049382716049382}, ""Recall"": {""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 1.0}, ""F-score"": {""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.276595744680851}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.16049382716049382,"[0.040123456790123455, 0.25, 0.06914893617021275, None]",0.0,0.0,0.0,0.16049382716049382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.276595744680851,29,24,15,13
5,alpaca style,google/flan-t5-xxl,"{""accuracy"": 0.7530864197530864, ""macro"": [0.5695767195767195, 0.6655172413793103, 0.6084222980409421, null], ""per_class"": {""Precision"": {""1"": 0.9259259259259259, ""2"": 0.6857142857142857, ""3"": 0.6666666666666666, ""4"": 0.0}, ""Recall"": {""1"": 0.8620689655172413, ""2"": 1.0, ""3"": 0.8, ""4"": 0.0}, ""F-score"": {""1"": 0.8928571428571429, ""2"": 0.8135593220338984, ""3"": 0.7272727272727272, ""4"": 0.0}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.7530864197530864,"[0.5695767195767195, 0.6655172413793103, 0.6084222980409421, None]",0.9259259259259259,0.6857142857142857,0.6666666666666666,0.0,0.8620689655172413,1.0,0.8,0.0,0.8928571428571429,0.8135593220338984,0.7272727272727272,0.0,29,24,15,13
6,alpaca succint,google/flan-t5-xxl,"{""accuracy"": 0.7777777777777778, ""macro"": [0.8252801120448179, 0.6933687002652521, 0.6524991946952019, null], ""per_class"": {""Precision"": {""1"": 0.9285714285714286, ""2"": 0.7058823529411765, ""3"": 0.6666666666666666, ""4"": 1.0}, ""Recall"": {""1"": 0.896551724137931, ""2"": 1.0, ""3"": 0.8, ""4"": 0.07692307692307693}, ""F-score"": {""1"": 0.912280701754386, ""2"": 0.8275862068965517, ""3"": 0.7272727272727272, ""4"": 0.14285714285714288}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.7777777777777778,"[0.8252801120448179, 0.6933687002652521, 0.6524991946952019, None]",0.9285714285714286,0.7058823529411765,0.6666666666666666,1.0,0.896551724137931,1.0,0.8,0.07692307692307693,0.912280701754386,0.8275862068965517,0.7272727272727272,0.14285714285714288,29,24,15,13
7,example,google/flan-t5-xxl,"{""accuracy"": 0.8518518518518519, ""macro"": [0.895122625852849, 0.7926613616268788, 0.8155835543766579, null], ""per_class"": {""Precision"": {""1"": 0.9655172413793104, ""2"": 0.7058823529411765, ""3"": 0.9090909090909091, ""4"": 1.0}, ""Recall"": {""1"": 0.9655172413793104, ""2"": 1.0, ""3"": 0.6666666666666666, ""4"": 0.5384615384615384}, ""F-score"": {""1"": 0.9655172413793104, ""2"": 0.8275862068965517, ""3"": 0.7692307692307692, ""4"": 0.7000000000000001}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8518518518518519,"[0.895122625852849, 0.7926613616268788, 0.8155835543766579, None]",0.9655172413793104,0.7058823529411765,0.9090909090909091,1.0,0.9655172413793104,1.0,0.6666666666666666,0.5384615384615384,0.9655172413793104,0.8275862068965517,0.7692307692307692,0.7000000000000001,29,24,15,13
8,original bmk,google/flan-t5-xxl,"{""accuracy"": 0.4074074074074074, ""macro"": [0.2748397435897436, 0.33084659593280286, 0.2994827586206897, null], ""per_class"": {""Precision"": {""1"": 0.4358974358974359, ""2"": 0.5384615384615384, ""3"": 0.0, ""4"": 0.125}, ""Recall"": {""1"": 0.5862068965517241, ""2"": 0.5833333333333334, ""3"": 0.0, ""4"": 0.15384615384615385}, ""F-score"": {""1"": 0.5, ""2"": 0.5599999999999999, ""3"": 0.0, ""4"": 0.13793103448275862}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.4074074074074074,"[0.2748397435897436, 0.33084659593280286, 0.2994827586206897, None]",0.4358974358974359,0.5384615384615384,0.0,0.125,0.5862068965517241,0.5833333333333334,0.0,0.15384615384615385,0.5,0.5599999999999999,0.0,0.13793103448275862,29,24,15,13
9,numeric succint,google/flan-t5-xxl,"{""accuracy"": 0.8271604938271605, ""macro"": [0.8555555555555555, 0.7516357206012378, 0.7550245098039217, null], ""per_class"": {""Precision"": {""1"": 0.8, ""2"": 0.8888888888888888, ""3"": 0.7333333333333333, ""4"": 1.0}, ""Recall"": {""1"": 0.9655172413793104, ""2"": 1.0, ""3"": 0.7333333333333333, ""4"": 0.3076923076923077}, ""F-score"": {""1"": 0.8750000000000001, ""2"": 0.9411764705882353, ""3"": 0.7333333333333333, ""4"": 0.47058823529411764}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8271604938271605,"[0.8555555555555555, 0.7516357206012378, 0.7550245098039217, None]",0.8,0.8888888888888888,0.7333333333333333,1.0,0.9655172413793104,1.0,0.7333333333333333,0.3076923076923077,0.8750000000000001,0.9411764705882353,0.7333333333333333,0.47058823529411764,29,24,15,13
